,Unnamed: 0,user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score,path,f
43,43,30601258@N03,9914124745_f218c5b9f2_o.jpg,2,"(25, 32)",m,809,632,823,823,-100,0,76,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9914124745_f218c5b9f2_o.jpg,1
44,44,30601258@N03,10204731983_643dfbf861_o.jpg,1,"(25, 32)",f,704,495,720,721,-80,30,145,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.10204731983_643dfbf861_o.jpg,1
45,45,30601258@N03,11097082974_48166bc382_o.jpg,2,"(25, 32)",m,5,14,804,805,-95,0,76,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11097082974_48166bc382_o.jpg,1
46,46,30601258@N03,9432313004_680bb1d1a6_o.jpg,4,"(38, 43)",f,181,734,1237,1237,-5,0,97,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.4.9432313004_680bb1d1a6_o.jpg,1
47,47,30601258@N03,9432313004_680bb1d1a6_o.jpg,7,"(25, 32)",f,1165,725,784,784,0,0,49,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.7.9432313004_680bb1d1a6_o.jpg,1
48,48,30601258@N03,9985321195_e46e991539_o.jpg,5,"(25, 32)",f,653,190,588,588,0,0,89,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.9985321195_e46e991539_o.jpg,1
49,49,30601258@N03,9985321195_e46e991539_o.jpg,7,"(25, 32)",f,369,253,500,500,0,0,62,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.7.9985321195_e46e991539_o.jpg,1
50,50,30601258@N03,10266570995_3fb4d97697_o.jpg,1,"(25, 32)",f,321,310,1326,1326,-105,0,90,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.10266570995_3fb4d97697_o.jpg,1
51,51,30601258@N03,9563675153_5e0473fb1a_o.jpg,7,"(25, 32)",f,935,902,638,637,185,0,36,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.7.9563675153_5e0473fb1a_o.jpg,1
52,52,30601258@N03,8747478879_afab76198a_o.jpg,8,"(25, 32)",m,243,140,576,577,0,0,97,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.8.8747478879_afab76198a_o.jpg,1
53,53,30601258@N03,10287590274_fa9248e48e_o.jpg,2,"(25, 32)",m,661,9,1351,1352,-85,30,54,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10287590274_fa9248e48e_o.jpg,1
54,54,30601258@N03,11340757554_66cc393151_o.jpg,2,"(25, 32)",m,129,62,864,864,-95,0,71,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11340757554_66cc393151_o.jpg,1
55,55,30601258@N03,11518749884_eb4fca177c_o.jpg,5,"(25, 32)",f,734,299,546,616,-15,0,86,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11518749884_eb4fca177c_o.jpg,1
56,56,30601258@N03,9347747777_863b82f4ea_o.jpg,8,"(25, 32)",m,1902,670,1362,1397,-5,0,101,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.8.9347747777_863b82f4ea_o.jpg,1
57,57,30601258@N03,9347747777_863b82f4ea_o.jpg,9,"(25, 32)",m,215,490,1275,1275,15,-15,81,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.9.9347747777_863b82f4ea_o.jpg,1
58,58,30601258@N03,9347747777_863b82f4ea_o.jpg,2,"(25, 32)",m,833,712,1116,1116,5,0,84,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9347747777_863b82f4ea_o.jpg,1
59,59,30601258@N03,10190337616_76cca76bbe_o.jpg,5,"(25, 32)",f,293,460,516,516,-110,30,79,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.10190337616_76cca76bbe_o.jpg,1
60,60,30601258@N03,9347755583_170100f138_o.jpg,4,"(38, 43)",f,490,525,1078,1078,-100,30,112,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.4.9347755583_170100f138_o.jpg,1
61,61,30601258@N03,10204589664_c7222c7d67_o.jpg,2,"(25, 32)",m,729,301,1244,1243,-95,0,68,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10204589664_c7222c7d67_o.jpg,1
62,62,30601258@N03,9159870407_d39a7d85db_o.jpg,2,"(25, 32)",m,134,71,812,812,-85,0,33,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9159870407_d39a7d85db_o.jpg,1
63,63,30601258@N03,10453815245_e33b2aab12_o.jpg,2,"(25, 32)",m,32,128,768,768,200,0,93,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10453815245_e33b2aab12_o.jpg,1
64,64,30601258@N03,10453815245_e33b2aab12_o.jpg,7,"(25, 32)",f,0,238,393,480,200,0,76,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.7.10453815245_e33b2aab12_o.jpg,1
65,65,30601258@N03,11551510215_3203d081c4_o.jpg,2,"(25, 32)",m,1563,541,1065,1065,-15,0,102,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11551510215_3203d081c4_o.jpg,1
66,66,30601258@N03,11551510215_3203d081c4_o.jpg,10,"(25, 32)",m,506,854,1008,1007,20,0,148,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.10.11551510215_3203d081c4_o.jpg,1
67,67,30601258@N03,10424707975_12e1d43262_o.jpg,4,"(38, 43)",f,470,224,436,436,-85,0,70,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.4.10424707975_12e1d43262_o.jpg,1
68,68,30601258@N03,10588577114_53d8cb5477_o.jpg,2,"(25, 32)",m,177,136,708,708,-95,0,50,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10588577114_53d8cb5477_o.jpg,1
69,69,30601258@N03,9350125152_bd50d6245f_o.jpg,2,"(25, 32)",m,565,310,1460,1460,-95,30,86,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9350125152_bd50d6245f_o.jpg,1
70,70,30601258@N03,11624618793_d3da5f88f3_o.jpg,5,"(25, 32)",f,143,0,801,646,-85,0,77,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11624618793_d3da5f88f3_o.jpg,1
71,71,30601258@N03,11624618793_d3da5f88f3_o.jpg,2,"(25, 32)",m,15,224,769,736,-80,0,21,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11624618793_d3da5f88f3_o.jpg,1
72,72,30601258@N03,11096974205_611e53636e_o.jpg,2,"(25, 32)",m,7,73,812,812,-95,0,101,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11096974205_611e53636e_o.jpg,1
73,73,30601258@N03,10522285296_ef07a93da2_o.jpg,2,"(25, 32)",m,278,52,660,660,0,0,111,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10522285296_ef07a93da2_o.jpg,1
74,74,30601258@N03,11341821874_593070c9fd_o.jpg,2,"(25, 32)",m,39,16,776,776,-100,0,55,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11341821874_593070c9fd_o.jpg,1
75,75,30601258@N03,10204418104_848f2c26f5_o.jpg,2,"(25, 32)",m,607,1153,484,485,-90,0,91,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10204418104_848f2c26f5_o.jpg,1
76,76,30601258@N03,9548694012_b8b24dc217_o.jpg,5,"(25, 32)",f,983,1043,1045,1046,160,30,93,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.9548694012_b8b24dc217_o.jpg,1
77,77,30601258@N03,9548694012_b8b24dc217_o.jpg,7,"(25, 32)",f,1424,825,835,835,180,15,71,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.7.9548694012_b8b24dc217_o.jpg,1
78,78,30601258@N03,11707674806_3160d8d433_o.jpg,2,"(25, 32)",m,112,0,768,720,-105,0,28,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11707674806_3160d8d433_o.jpg,1
79,79,30601258@N03,11340738754_00de202eee_o.jpg,2,"(25, 32)",m,129,62,864,864,-95,0,71,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11340738754_00de202eee_o.jpg,1
80,80,30601258@N03,11227387126_eccd313828_o.jpg,2,"(25, 32)",m,109,109,733,733,-95,0,73,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11227387126_eccd313828_o.jpg,1
81,81,30601258@N03,11551480385_3990a8b517_o.jpg,5,"(25, 32)",f,176,205,812,755,-90,0,75,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11551480385_3990a8b517_o.jpg,1
82,82,30601258@N03,11551480385_3990a8b517_o.jpg,2,"(25, 32)",m,204,0,773,676,-90,0,56,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11551480385_3990a8b517_o.jpg,1
83,83,30601258@N03,10343195333_c8541f4ec4_o.jpg,2,"(25, 32)",m,339,329,704,631,-90,30,43,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10343195333_c8541f4ec4_o.jpg,1
84,84,30601258@N03,10491792593_559cbab623_o.jpg,4,"(38, 43)",f,420,321,507,509,-90,0,97,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.4.10491792593_559cbab623_o.jpg,1
85,85,30601258@N03,11097388595_277592df2f_o.jpg,2,"(25, 32)",m,0,12,858,864,-90,0,43,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11097388595_277592df2f_o.jpg,1
86,86,30601258@N03,10852267285_6a8bf80e7a_o.jpg,3,"(25, 32)",m,182,240,792,720,-90,0,84,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.3.10852267285_6a8bf80e7a_o.jpg,1
87,87,30601258@N03,10852267285_6a8bf80e7a_o.jpg,2,"(25, 32)",m,206,0,636,569,-90,0,89,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10852267285_6a8bf80e7a_o.jpg,1
88,88,30601258@N03,11409398323_d5cd88a959_o.jpg,2,"(25, 32)",m,178,1200,771,771,-90,0,113,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11409398323_d5cd88a959_o.jpg,1
89,89,30601258@N03,11518646533_80f36f9e43_o.jpg,1,"(25, 32)",f,1093,1131,1026,1026,-105,30,134,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.11518646533_80f36f9e43_o.jpg,1
90,90,30601258@N03,11118690536_2b211b407a_o.jpg,4,"(38, 43)",f,460,728,1288,1288,-80,-30,47,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.4.11118690536_2b211b407a_o.jpg,1
91,91,30601258@N03,9347820185_8b51eb5b82_o.jpg,2,"(25, 32)",m,686,208,1256,1256,-75,30,100,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9347820185_8b51eb5b82_o.jpg,1
92,92,30601258@N03,10343011254_8f847beb9f_o.jpg,5,"(25, 32)",f,257,249,736,711,-95,0,32,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.10343011254_8f847beb9f_o.jpg,1
93,93,30601258@N03,10343011254_8f847beb9f_o.jpg,2,"(25, 32)",m,188,0,681,679,-90,30,84,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10343011254_8f847beb9f_o.jpg,1
94,94,30601258@N03,9921471513_1d92175234_o.jpg,1,"(25, 32)",f,854,992,491,491,-95,0,138,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.9921471513_1d92175234_o.jpg,1
95,95,30601258@N03,11312228296_2048ec3603_o.jpg,2,"(25, 32)",m,87,87,684,684,-90,0,55,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11312228296_2048ec3603_o.jpg,1
96,96,30601258@N03,11485348446_8baca5e588_o.jpg,2,"(25, 32)",m,133,308,656,652,-75,0,44,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11485348446_8baca5e588_o.jpg,1
97,97,30601258@N03,11485348446_8baca5e588_o.jpg,5,"(25, 32)",f,178,21,641,640,-90,0,101,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11485348446_8baca5e588_o.jpg,1
98,98,30601258@N03,8748602310_6a49559e57_o.jpg,2,"(25, 32)",m,549,101,616,616,-10,0,43,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.8748602310_6a49559e57_o.jpg,1
99,99,30601258@N03,8748602310_6a49559e57_o.jpg,8,"(25, 32)",m,220,191,540,541,0,0,67,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.8.8748602310_6a49559e57_o.jpg,1
100,100,30601258@N03,11727489873_7e5fb32c26_o.jpg,2,"(25, 32)",m,1536,318,1230,1231,0,30,83,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11727489873_7e5fb32c26_o.jpg,1
101,101,30601258@N03,11727338963_25827f6dd1_o.jpg,3,"(25, 32)",m,1845,709,1058,1058,200,0,100,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.3.11727338963_25827f6dd1_o.jpg,1
102,102,30601258@N03,11727338963_25827f6dd1_o.jpg,2,"(25, 32)",m,489,938,822,823,185,0,117,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11727338963_25827f6dd1_o.jpg,1
103,103,30601258@N03,10152966915_9d05ac9527_o.jpg,5,"(25, 32)",f,1212,906,587,587,0,30,23,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.10152966915_9d05ac9527_o.jpg,1
104,104,30601258@N03,10152966915_9d05ac9527_o.jpg,2,"(25, 32)",m,1043,682,415,414,-10,30,92,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10152966915_9d05ac9527_o.jpg,1
105,105,30601258@N03,9505515072_ea8945f17e_o.jpg,5,"(25, 32)",f,581,612,1492,1491,160,30,158,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.9505515072_ea8945f17e_o.jpg,1
106,106,30601258@N03,11431643434_694787070f_o.jpg,2,"(25, 32)",m,254,175,724,724,-90,0,35,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11431643434_694787070f_o.jpg,1
107,107,30601258@N03,11097521786_f2dcd7c4ed_o.jpg,2,"(25, 32)",m,76,12,776,776,-85,0,45,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11097521786_f2dcd7c4ed_o.jpg,1
108,108,30601258@N03,11232858245_2eb1fca5c9_o.jpg,2,"(25, 32)",m,965,508,440,440,10,0,72,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11232858245_2eb1fca5c9_o.jpg,1
109,109,30601258@N03,10975323316_e880dd4424_o.jpg,2,"(25, 32)",m,148,262,676,676,-95,45,71,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10975323316_e880dd4424_o.jpg,1
110,110,30601258@N03,11438099064_15987611e6_o.jpg,2,"(25, 32)",m,1377,962,745,746,-100,30,49,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11438099064_15987611e6_o.jpg,1
111,111,30601258@N03,9254720125_2e3cf6aa77_o.jpg,2,"(25, 32)",m,1287,130,1530,1530,-15,15,110,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9254720125_2e3cf6aa77_o.jpg,1
112,112,30601258@N03,11097060086_97c5a74b7d_o.jpg,2,"(25, 32)",m,129,176,660,661,-95,0,112,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11097060086_97c5a74b7d_o.jpg,1
113,113,30601258@N03,10491698983_0be018cba3_o.jpg,2,"(25, 32)",m,289,90,800,801,-5,0,43,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10491698983_0be018cba3_o.jpg,1
114,114,30601258@N03,9350518786_80944b96b0_o.jpg,2,"(25, 32)",m,135,0,640,606,-100,30,47,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.9350518786_80944b96b0_o.jpg,1
115,115,30601258@N03,10570987096_7459372b32_o.jpg,2,"(25, 32)",m,596,156,684,688,-5,0,28,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10570987096_7459372b32_o.jpg,1
116,116,30601258@N03,10765523195_d07320dc72_o.jpg,2,"(25, 32)",m,1,0,780,731,10,0,30,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10765523195_d07320dc72_o.jpg,1
117,117,30601258@N03,11227393176_65b115a55a_o.jpg,2,"(25, 32)",m,123,156,660,660,-105,0,70,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11227393176_65b115a55a_o.jpg,1
118,118,30601258@N03,10765613784_339fd884bc_o.jpg,2,"(25, 32)",m,1,0,724,704,5,0,41,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.10765613784_339fd884bc_o.jpg,1
119,119,30601258@N03,11861584505_dd512cc570_o.jpg,2,"(25, 32)",m,0,160,634,660,10,0,51,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11861584505_dd512cc570_o.jpg,1
120,120,30601258@N03,10438443205_b5075c685d_o.jpg,1,"(25, 32)",f,0,232,476,568,-25,30,104,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.10438443205_b5075c685d_o.jpg,1
121,121,30601258@N03,11623896043_31951552e1_o.jpg,2,"(25, 32)",m,0,151,837,809,-100,0,22,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.2.11623896043_31951552e1_o.jpg,1
122,122,30601258@N03,11623896043_31951552e1_o.jpg,5,"(25, 32)",f,224,0,768,576,-90,0,34,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11623896043_31951552e1_o.jpg,1
123,123,30601258@N03,9921409973_984200003f_o.jpg,5,"(25, 32)",f,368,1506,644,643,-90,30,97,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.9921409973_984200003f_o.jpg,1
124,124,30601258@N03,11233977894_1966999567_o.jpg,5,"(25, 32)",f,1059,1067,274,274,-90,0,50,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.5.11233977894_1966999567_o.jpg,1
125,125,30601258@N03,9904044896_cb797f78d2_o.jpg,1,"(25, 32)",f,521,377,1083,1084,-85,0,94,./Dataset-copy/aligned/30601258@N03/landmark_aligned_face.1.9904044896_cb797f78d2_o.jpg,1
